"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2018-10-23T13:40:45.571+11:00[Australia/Sydney]","0.0","15.13"
"First serenity test","This is not good","FAILURE","2018-10-23T13:41:02.166+11:00[Australia/Sydney]","0.0","1.65"
"First serenity test","This is a manual test","PENDING","2018-10-23T13:41:03.858+11:00[Australia/Sydney]","0.0","1.38"
"First serenity test","Ignore skipped test","IGNORED","2018-10-23T13:41:05.241+11:00[Australia/Sydney]","0.0","0.7"
"First serenity test","This is a error test","ERROR","2018-10-23T13:41:05.943+11:00[Australia/Sydney]","0.0","0.67"
"First serenity test","File doesnt exist","COMPROMISED","2018-10-23T13:41:06.621+11:00[Australia/Sydney]","0.0","0.78"
"First serenity test","Pending test","PENDING","2018-10-23T13:41:07.41+11:00[Australia/Sydney]","0.0","0.85"
"First serenity test","Get all students","SUCCESS","2018-10-23T13:41:08.277+11:00[Australia/Sydney]","0.0","1.1"
