"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2018-10-23T13:40:45.571+11:00[Australia/Sydney]","0.0","15.13"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-10-23T13:41:06.254+11:00[Australia/Sydney]","0.0","3.18"
"First serenity test","Get all students","SUCCESS","2018-10-23T13:41:08.277+11:00[Australia/Sydney]","0.0","1.1"
"Students CRUD test","Update the user information and verify the upodated information!","SUCCESS","2018-10-23T13:41:09.442+11:00[Australia/Sydney]","0.0","1.33"
"Students CRUD test","Delete the student and verify wheather the student is deleted","SUCCESS","2018-10-23T13:41:10.798+11:00[Australia/Sydney]","0.0","1.23"
"Create students data driven","Data driven test for adding multiple students to the Student App","SUCCESS","2018-10-23T13:41:34.56+11:00[Australia/Sydney]","0.0","123.94"
